GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shoppingmall,com.nhnacademy.shoppingmall.dto,UserDto.Read.Response,0,65,0,0,0,19,0,10,0,10
shoppingmall,com.nhnacademy.shoppingmall.dto,ProductDto.ProductSummaryResponse,18,27,0,0,6,10,6,2,6,2
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto,0,15,0,0,0,6,0,3,0,3
shoppingmall,com.nhnacademy.shoppingmall.dto,ErrorResponse,0,15,0,0,0,6,0,3,0,3
shoppingmall,com.nhnacademy.shoppingmall.dto,UserDto.Create.Response,21,44,0,0,7,12,7,3,7,3
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto.RegisterResponse,6,17,0,0,2,5,2,2,2,2
shoppingmall,com.nhnacademy.shoppingmall.dto,UserDto.Create.Request,12,27,0,0,4,10,4,3,4,3
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto.RegisterRequest,0,12,0,0,0,5,0,3,0,3
shoppingmall,com.nhnacademy.shoppingmall.dto,QProductDto_ProductSummaryResponse,0,64,0,0,0,2,0,1,0,1
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto.UpdateResponse,0,23,0,0,0,7,0,4,0,4
shoppingmall,com.nhnacademy.shoppingmall.dto,ProductDto.ProductSummaryRequest,9,0,0,0,3,0,3,0,3,0
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto.ListResponse,0,9,0,0,0,4,0,2,0,2
shoppingmall,com.nhnacademy.shoppingmall.dto,CategoryDto.UpdateRequest,0,6,0,0,0,2,0,2,0,2
shoppingmall,com.nhnacademy.shoppingmall.service.impl,CategoryServiceImpl,0,59,0,2,0,11,0,6,0,5
shoppingmall,com.nhnacademy.shoppingmall.service.impl,UserServiceImpl,0,55,0,2,0,11,0,6,0,5
shoppingmall,com.nhnacademy.shoppingmall.service.impl,ProductServiceImpl,0,13,0,0,0,2,0,2,0,2
shoppingmall,com.nhnacademy.shoppingmall.exception,DuplicateException,0,4,0,0,0,2,0,1,0,1
shoppingmall,com.nhnacademy.shoppingmall.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
shoppingmall,com.nhnacademy.shoppingmall.repository.custom.impl,ProductRepositoryImpl,0,142,0,8,0,22,0,6,0,2
